Nome,Tipo,Imagem,Data de Lançamento,Duração em Minutos,Diretor,Soma das Avaliações,Quantidade de Avaliações,sinopse,Gêneros,Numero temporada,Numero Epsodio,Tipos.Serie pertencente
Interestelar,Tipos.Filme,imagens/interestelar.jpg,2014,169,Christopher Nolan,101,15,Uma missão para salvar a humanidade leva astronautas a um buraco negro,drama&aventura&ficção científica,-,-,-
O Poderoso Chefão,Tipos.Filme,imagens/chefao.jpg,1972,175,Francis Ford Coppola,9,1,A saga da família mafiosa Corleone,drama&crime&clássico,-,-,-
Matrix,Tipos.Filme,imagens/matrix.jpg,1999,136,Lana Wachowski,21,6,Um hacker descobre a verdade sobre a realidade,ficção científica&distopia&ação,-,-,-
Toy Story,Tipos.Filme,imagens/toystory.jpg,1995,81,John Lasseter,10,2,Brinquedos ganham vida quando os humanos não estão por perto,família&animação&comédia,-,-,-
Titanic,Tipos.Filme,imagens/titanic.jpg,1997,195,James Cameron,19,2,Um romance trágico a bordo do navio Titanic,drama&romance&histórico,-,-,-
Stranger Things,Tipos.Serie,imagens/strangerthings.jpg,2016,50,Duffer Brothers,0,0,Garotos enfrentam eventos sobrenaturais em sua cidade,terror&ficção científica&mistério,-,-,-
A Desaparição,Episodio,imagens/st1e1.jpg,2016,50,Duffer Brothers,1,1,Will desaparece misteriosamente,-,1,1,Stranger Things
A Chegada,Episodio,imagens/st1e2.jpg,2016,49,Duffer Brothers,0,0,Onze aparece na cidade,-,1,2,Stranger Things
O Desaparecimento de Will,Episodio,imagens/strangerthings_s1e1.jpg,2016,47,The Duffer Brothers,0,0,Menino desaparece e mistérios sobrenaturais surgem,-,1,1,Stranger Things
A Estranha no Lado Invertido,Episodio,imagens/strangerthings_s1e2.jpg,2016,55,The Duffer Brothers,0,0,Surge uma garota misteriosa com poderes telecinéticos,-,1,2,Stranger Things
Luzes de Natal,Episodio,imagens/strangerthings_s1e3.jpg,2016,50,The Duffer Brothers,0,0,A mãe de Will tenta se comunicar com ele através de luzes,-,1,3,Stranger Things
O Corpo,Episodio,imagens/strangerthings_s1e4.jpg,2016,53,The Duffer Brothers,0,0,O corpo de Will é encontrado... ou será que não?,-,1,4,Stranger Things
A Pulga e o Acrobata,Episodio,imagens/strangerthings_s1e5.jpg,2016,51,The Duffer Brothers,0,0,Os garotos descobrem o mundo invertido,-,1,5,Stranger Things
A Desaparição,Episodio,imagens/st1e1.jpg,2016,50,Duffer Brothers,1,1,Will desaparece misteriosamente,-,1,1,Stranger Things
The Office,Tipos.Serie,imagens/theoffice.jpg,2005,22,Greg Daniels,0,0,Uma sátira do dia a dia de um escritório,mockumentary&comédia,-,-,-
Game of Thrones,Tipos.Serie,imagens/got.jpg,2011,57,David Benioff,0,0,Batalhas e intrigas por poder em Westeros,drama&fantasia&ação,-,-,-
Winter is Coming,Episodio,imagens/got1e1.jpg,2011,61,Tim Van Patten,0,0,Os Starks descobrem a ameaça dos Caminhantes Brancos,-,1,1,Game of Thrones
Dark,Tipos.Serie,imagens/dark.jpg,2017,53,Baran bo Odar,0,0,Mistérios e viagens no tempo em uma pequena cidade alemã,drama&ficção científica&suspense,-,-,-
A Reunião,Episodio,imagens/dark1e1.jpg,2017,53,Baran bo Odar,0,0,Crianças desaparecem após eventos estranhos,-,1,1,Dark
Segredos,Episodio,imagens/dark_s1e1.jpg,2017,52,Baran bo Odar,0,0,Desaparecimento de um garoto abala uma cidade alemã,-,1,1,Dark
Mentiras,Episodio,imagens/dark_s1e2.jpg,2017,55,Baran bo Odar,0,0,Os segredos da família Nielsen começam a surgir,-,1,2,Dark
Passado e Presente,Episodio,imagens/dark_s1e3.jpg,2017,57,Baran bo Odar,0,0,Descoberta de uma passagem para o passado,-,1,3,Dark
Verdades,Episodio,imagens/dark_s1e5.jpg,2017,59,Baran bo Odar,0,0,Personagens encaram revelações perturbadoras,-,1,5,Dark
Brooklyn Nine-Nine,Tipos.Serie,imagens/b99.jpg,2013,21,Michael Schur,0,0,Delegacia do Brooklyn enfrenta crimes com humor,policial&comédia,-,-,-
Breaking Bad,Tipos.Serie,imagens/breakingbad.jpg,2008,47,Vince Gilligan,0,0,Professor de química vira fabricante de metanfetamina,drama&crime&thriller,-,-,-
Piloto,Episodio,imagens/breakingbad_s1e1.jpg,2008,58,Vince Gilligan,8,4,Walter White inicia seu envolvimento no tráfico de drogas,-,1,1,Breaking Bad
Sherlock,Tipos.Serie,imagens/sherlock.jpg,2010,90,Mark Gatiss,0,0,O detetive Sherlock Holmes resolve casos modernos em Londres,drama&mistério&crime,-,-,-
Um Estudo em Rosa,Episodio,imagens/sherlock_s1e1.jpg,2010,90,Paul McGuigan,0,0,Holmes e Watson resolvem seu primeiro caso juntos,-,1,1,Sherlock
Arcane,Tipos.Serie,imagens/arcane.jpg,2021,45,Pascal Charrue,0,0,Duas irmãs lutam em lados opostos de uma guerra em Piltover,drama&animação&ação,-,-,-
Bem-vindo a Piltover,Episodio,imagens/arcane_s1e1.jpg,2021,44,Pascal Charrue,0,0,Duas irmãs invadem um laboratório e causam uma explosão,-,1,1,Arcane
Bem-vindo a Piltover,Episodio,imagens/arcane_s1e1.jpg,2021,44,Pascal Charrue,1,1,Duas irmãs invadem um laboratório e causam uma explosão,-,1,1,Arcane
Bem-vindo a Piltover,Episodio,imagens/arcane_s1e1.jpg,2021,44,Pascal Charrue,6,2,Duas irmãs invadem um laboratório e causam uma explosão,-,1,1,Arcane
The Crown,Tipos.Serie,imagens/thecrown.jpg,2016,58,Peter Morgan,0,0,A trajetória da Rainha Elizabeth II ao longo das décadas,drama&biografia&histórico,-,-,-
Uma Nova Rainha,Episodio,imagens/thecrown_s1e1.jpg,2016,58,Stephen Daldry,0,0,Morte do rei muda o destino de Elizabeth,-,1,1,The Crown
BoJack Horseman,Tipos.Serie,imagens/bojack.jpg,2014,25,Raphael Bob-Waksberg,0,0,Um ator decadente tenta reencontrar o sentido da vida,drama&animação&comédia,-,-,-
Vingadores: Ultimato,Tipos.Filme,imagens/vingadores_ultimato.jpg,2019,181,Anthony Russo,9,1,Heróis enfrentam Thanos para restaurar o universo,aventura&ficção científica&ação,-,-,-
Coringa,Tipos.Filme,imagens/coringa.jpg,2019,122,Todd Phillips,9,1,Um comediante falido entra em colapso mental e se torna um símbolo do caos,drama&psicológico&crime,-,-,-
Homem-Aranha: Sem Volta para Casa,Tipos.Filme,imagens/spiderman_nwh.jpg,2021,148,Jon Watts,9,1,Universos colidem e heróis enfrentam vilões de outras realidades,aventura&ficção científica&ação,-,-,-
Elementos,Tipos.Filme,imagens/elementos.jpg,2023,101,Peter Sohn,9,1,Elementos da natureza convivem em uma cidade diversa,fantasia&família&animação,-,-,-
O Castelo Animado,Tipos.Filme,imagens/castelo_animado.jpg,2004,119,Hayao Miyazaki,9,1,Jovem amaldiçoada conhece um mago em um castelo mágico,aventura&fantasia&animação,-,-,-
The Mandalorian,Tipos.Serie,imagens/mandalorian.jpg,2019,40,Jon Favreau,0,0,Caçador de recompensas vaga pela galáxia após queda do Império,aventura&ficção científica&ação,-,-,-
Capítulo 1: O Mandaloriano,Episodio,imagens/mandalorian_s1e1.jpg,2019,39,Jon Favreau,1,1,Caçador de recompensas aceita uma missão misteriosa,-,1,1,The Mandalorian
